hits,quarter,term,year
99,1,(women*) AND women's movement,1900
112,2,(women*) AND women's movement,1900
89,3,(women*) AND women's movement,1900
108,4,(women*) AND women's movement,1900
81,1,(women*) AND women's movement,1901
105,2,(women*) AND women's movement,1901
85,3,(women*) AND women's movement,1901
90,4,(women*) AND women's movement,1901
81,1,(women*) AND women's movement,1902
82,2,(women*) AND women's movement,1902
56,3,(women*) AND women's movement,1902
94,4,(women*) AND women's movement,1902
103,1,(women*) AND women's movement,1903
105,2,(women*) AND women's movement,1903
94,3,(women*) AND women's movement,1903
90,4,(women*) AND women's movement,1903
73,1,(women*) AND women's movement,1904
62,2,(women*) AND women's movement,1904
57,3,(women*) AND women's movement,1904
61,4,(women*) AND women's movement,1904
67,1,(women*) AND women's movement,1905
54,2,(women*) AND women's movement,1905
51,3,(women*) AND women's movement,1905
90,4,(women*) AND women's movement,1905
71,1,(women*) AND women's movement,1906
74,2,(women*) AND women's movement,1906
59,3,(women*) AND women's movement,1906
80,4,(women*) AND women's movement,1906
81,1,(women*) AND women's movement,1907
89,2,(women*) AND women's movement,1907
70,3,(women*) AND women's movement,1907
85,4,(women*) AND women's movement,1907
103,1,(women*) AND women's movement,1908
98,2,(women*) AND women's movement,1908
81,3,(women*) AND women's movement,1908
104,4,(women*) AND women's movement,1908
146,1,(women*) AND women's movement,1909
133,2,(women*) AND women's movement,1909
95,3,(women*) AND women's movement,1909
167,4,(women*) AND women's movement,1909
191,1,(women*) AND women's movement,1910
164,2,(women*) AND women's movement,1910
113,3,(women*) AND women's movement,1910
100,4,(women*) AND women's movement,1910
142,1,(women*) AND women's movement,1911
126,2,(women*) AND women's movement,1911
99,3,(women*) AND women's movement,1911
136,4,(women*) AND women's movement,1911
192,1,(women*) AND women's movement,1912
187,2,(women*) AND women's movement,1912
179,3,(women*) AND women's movement,1912
200,4,(women*) AND women's movement,1912
207,1,(women*) AND women's movement,1913
197,2,(women*) AND women's movement,1913
129,3,(women*) AND women's movement,1913
220,4,(women*) AND women's movement,1913
192,1,(women*) AND women's movement,1914
184,2,(women*) AND women's movement,1914
137,3,(women*) AND women's movement,1914
154,4,(women*) AND women's movement,1914
158,1,(women*) AND women's movement,1915
174,2,(women*) AND women's movement,1915
140,3,(women*) AND women's movement,1915
195,4,(women*) AND women's movement,1915
133,1,(women*) AND women's movement,1916
175,2,(women*) AND women's movement,1916
152,3,(women*) AND women's movement,1916
121,4,(women*) AND women's movement,1916
144,1,(women*) AND women's movement,1917
146,2,(women*) AND women's movement,1917
105,3,(women*) AND women's movement,1917
152,4,(women*) AND women's movement,1917
119,1,(women*) AND women's movement,1918
114,2,(women*) AND women's movement,1918
103,3,(women*) AND women's movement,1918
73,4,(women*) AND women's movement,1918
118,1,(women*) AND women's movement,1919
130,2,(women*) AND women's movement,1919
115,3,(women*) AND women's movement,1919
131,4,(women*) AND women's movement,1919
166,1,(women*) AND women's movement,1920
216,2,(women*) AND women's movement,1920
155,3,(women*) AND women's movement,1920
112,4,(women*) AND women's movement,1920
115,1,(women*) AND women's movement,1921
147,2,(women*) AND women's movement,1921
117,3,(women*) AND women's movement,1921
150,4,(women*) AND women's movement,1921
164,1,(women*) AND women's movement,1922
176,2,(women*) AND women's movement,1922
141,3,(women*) AND women's movement,1922
143,4,(women*) AND women's movement,1922
181,1,(women*) AND women's movement,1923
254,2,(women*) AND women's movement,1923
191,3,(women*) AND women's movement,1923
186,4,(women*) AND women's movement,1923
221,1,(women*) AND women's movement,1924
248,2,(women*) AND women's movement,1924
226,3,(women*) AND women's movement,1924
197,4,(women*) AND women's movement,1924
217,1,(women*) AND women's movement,1925
246,2,(women*) AND women's movement,1925
198,3,(women*) AND women's movement,1925
210,4,(women*) AND women's movement,1925
206,1,(women*) AND women's movement,1926
269,2,(women*) AND women's movement,1926
183,3,(women*) AND women's movement,1926
185,4,(women*) AND women's movement,1926
187,1,(women*) AND women's movement,1927
196,2,(women*) AND women's movement,1927
158,3,(women*) AND women's movement,1927
125,4,(women*) AND women's movement,1927
178,1,(women*) AND women's movement,1928
227,2,(women*) AND women's movement,1928
204,3,(women*) AND women's movement,1928
160,4,(women*) AND women's movement,1928
155,1,(women*) AND women's movement,1929
204,2,(women*) AND women's movement,1929
142,3,(women*) AND women's movement,1929
188,4,(women*) AND women's movement,1929
204,1,(women*) AND women's movement,1930
230,2,(women*) AND women's movement,1930
173,3,(women*) AND women's movement,1930
204,4,(women*) AND women's movement,1930
229,1,(women*) AND women's movement,1931
217,2,(women*) AND women's movement,1931
152,3,(women*) AND women's movement,1931
198,4,(women*) AND women's movement,1931
220,1,(women*) AND women's movement,1932
229,2,(women*) AND women's movement,1932
198,3,(women*) AND women's movement,1932
251,4,(women*) AND women's movement,1932
161,1,(women*) AND women's movement,1933
140,2,(women*) AND women's movement,1933
227,3,(women*) AND women's movement,1933
225,4,(women*) AND women's movement,1933
166,1,(women*) AND women's movement,1934
170,2,(women*) AND women's movement,1934
160,3,(women*) AND women's movement,1934
167,4,(women*) AND women's movement,1934
158,1,(women*) AND women's movement,1935
165,2,(women*) AND women's movement,1935
172,3,(women*) AND women's movement,1935
174,4,(women*) AND women's movement,1935
184,1,(women*) AND women's movement,1936
221,2,(women*) AND women's movement,1936
177,3,(women*) AND women's movement,1936
236,4,(women*) AND women's movement,1936
222,1,(women*) AND women's movement,1937
225,2,(women*) AND women's movement,1937
165,3,(women*) AND women's movement,1937
221,4,(women*) AND women's movement,1937
187,1,(women*) AND women's movement,1938
180,2,(women*) AND women's movement,1938
152,3,(women*) AND women's movement,1938
161,4,(women*) AND women's movement,1938
179,1,(women*) AND women's movement,1939
148,2,(women*) AND women's movement,1939
157,3,(women*) AND women's movement,1939
166,4,(women*) AND women's movement,1939
155,1,(women*) AND women's movement,1940
138,2,(women*) AND women's movement,1940
157,3,(women*) AND women's movement,1940
137,4,(women*) AND women's movement,1940
112,1,(women*) AND women's movement,1941
93,2,(women*) AND women's movement,1941
92,3,(women*) AND women's movement,1941
123,4,(women*) AND women's movement,1941
117,1,(women*) AND women's movement,1942
125,2,(women*) AND women's movement,1942
139,3,(women*) AND women's movement,1942
134,4,(women*) AND women's movement,1942
84,1,(women*) AND women's movement,1943
81,2,(women*) AND women's movement,1943
81,3,(women*) AND women's movement,1943
89,4,(women*) AND women's movement,1943
70,1,(women*) AND women's movement,1944
81,2,(women*) AND women's movement,1944
93,3,(women*) AND women's movement,1944
105,4,(women*) AND women's movement,1944
86,1,(women*) AND women's movement,1945
71,2,(women*) AND women's movement,1945
71,3,(women*) AND women's movement,1945
92,4,(women*) AND women's movement,1945
70,1,(women*) AND women's movement,1946
77,2,(women*) AND women's movement,1946
86,3,(women*) AND women's movement,1946
128,4,(women*) AND women's movement,1946
79,1,(women*) AND women's movement,1947
104,2,(women*) AND women's movement,1947
78,3,(women*) AND women's movement,1947
94,4,(women*) AND women's movement,1947
72,1,(women*) AND women's movement,1948
81,2,(women*) AND women's movement,1948
86,3,(women*) AND women's movement,1948
79,4,(women*) AND women's movement,1948
75,1,(women*) AND women's movement,1949
75,2,(women*) AND women's movement,1949
78,3,(women*) AND women's movement,1949
79,4,(women*) AND women's movement,1949
86,1,(women*) AND women's movement,1950
81,2,(women*) AND women's movement,1950
110,3,(women*) AND women's movement,1950
83,4,(women*) AND women's movement,1950
74,1,(women*) AND women's movement,1951
71,2,(women*) AND women's movement,1951
83,3,(women*) AND women's movement,1951
74,4,(women*) AND women's movement,1951
57,1,(women*) AND women's movement,1952
71,2,(women*) AND women's movement,1952
71,3,(women*) AND women's movement,1952
88,4,(women*) AND women's movement,1952
56,1,(women*) AND women's movement,1953
66,2,(women*) AND women's movement,1953
60,3,(women*) AND women's movement,1953
62,4,(women*) AND women's movement,1953
67,1,(women*) AND women's movement,1954
54,2,(women*) AND women's movement,1954
52,3,(women*) AND women's movement,1954
66,4,(women*) AND women's movement,1954
66,1,(women*) AND women's movement,1955
56,2,(women*) AND women's movement,1955
67,3,(women*) AND women's movement,1955
64,4,(women*) AND women's movement,1955
90,1,(women*) AND women's movement,1956
64,2,(women*) AND women's movement,1956
72,3,(women*) AND women's movement,1956
74,4,(women*) AND women's movement,1956
84,1,(women*) AND women's movement,1957
58,2,(women*) AND women's movement,1957
64,3,(women*) AND women's movement,1957
52,4,(women*) AND women's movement,1957
55,1,(women*) AND women's movement,1958
70,2,(women*) AND women's movement,1958
59,3,(women*) AND women's movement,1958
69,4,(women*) AND women's movement,1958
65,1,(women*) AND women's movement,1959
62,2,(women*) AND women's movement,1959
67,3,(women*) AND women's movement,1959
62,4,(women*) AND women's movement,1959
92,1,(women*) AND women's movement,1960
86,2,(women*) AND women's movement,1960
73,3,(women*) AND women's movement,1960
78,4,(women*) AND women's movement,1960
94,1,(women*) AND women's movement,1961
69,2,(women*) AND women's movement,1961
60,3,(women*) AND women's movement,1961
83,4,(women*) AND women's movement,1961
79,1,(women*) AND women's movement,1962
97,2,(women*) AND women's movement,1962
76,3,(women*) AND women's movement,1962
73,4,(women*) AND women's movement,1962
25,1,(women*) AND women's movement,1963
107,2,(women*) AND women's movement,1963
99,3,(women*) AND women's movement,1963
113,4,(women*) AND women's movement,1963
138,1,(women*) AND women's movement,1964
150,2,(women*) AND women's movement,1964
147,3,(women*) AND women's movement,1964
175,4,(women*) AND women's movement,1964
109,1,(women*) AND women's movement,1965
104,2,(women*) AND women's movement,1965
96,3,(women*) AND women's movement,1965
109,4,(women*) AND women's movement,1965
94,1,(women*) AND women's movement,1966
120,2,(women*) AND women's movement,1966
101,3,(women*) AND women's movement,1966
100,4,(women*) AND women's movement,1966
108,1,(women*) AND women's movement,1967
108,2,(women*) AND women's movement,1967
86,3,(women*) AND women's movement,1967
112,4,(women*) AND women's movement,1967
83,1,(women*) AND women's movement,1968
104,2,(women*) AND women's movement,1968
91,3,(women*) AND women's movement,1968
102,4,(women*) AND women's movement,1968
106,1,(women*) AND women's movement,1969
85,2,(women*) AND women's movement,1969
72,3,(women*) AND women's movement,1969
128,4,(women*) AND women's movement,1969
192,1,(women*) AND women's movement,1970
217,2,(women*) AND women's movement,1970
240,3,(women*) AND women's movement,1970
239,4,(women*) AND women's movement,1970
208,1,(women*) AND women's movement,1971
262,2,(women*) AND women's movement,1971
215,3,(women*) AND women's movement,1971
255,4,(women*) AND women's movement,1971
314,1,(women*) AND women's movement,1972
283,2,(women*) AND women's movement,1972
243,3,(women*) AND women's movement,1972
269,4,(women*) AND women's movement,1972
320,1,(women*) AND women's movement,1973
266,2,(women*) AND women's movement,1973
237,3,(women*) AND women's movement,1973
240,4,(women*) AND women's movement,1973
252,1,(women*) AND women's movement,1974
278,2,(women*) AND women's movement,1974
314,3,(women*) AND women's movement,1974
287,4,(women*) AND women's movement,1974
263,1,(women*) AND women's movement,1975
311,2,(women*) AND women's movement,1975
269,3,(women*) AND women's movement,1975
399,4,(women*) AND women's movement,1975
269,1,(women*) AND women's movement,1976
308,2,(women*) AND women's movement,1976
299,3,(women*) AND women's movement,1976
312,4,(women*) AND women's movement,1976
286,1,(women*) AND women's movement,1977
375,2,(women*) AND women's movement,1977
358,3,(women*) AND women's movement,1977
446,4,(women*) AND women's movement,1977
402,1,(women*) AND women's movement,1978
419,2,(women*) AND women's movement,1978
132,3,(women*) AND women's movement,1978
225,4,(women*) AND women's movement,1978
335,1,(women*) AND women's movement,1979
295,2,(women*) AND women's movement,1979
300,3,(women*) AND women's movement,1979
368,4,(women*) AND women's movement,1979
262,1,(women*) AND women's movement,1980
201,2,(women*) AND women's movement,1980
189,3,(women*) AND women's movement,1980
219,4,(women*) AND women's movement,1980
288,1,(women*) AND women's movement,1981
288,2,(women*) AND women's movement,1981
278,3,(women*) AND women's movement,1981
346,4,(women*) AND women's movement,1981
259,1,(women*) AND women's movement,1982
302,2,(women*) AND women's movement,1982
243,3,(women*) AND women's movement,1982
296,4,(women*) AND women's movement,1982
283,1,(women*) AND women's movement,1983
299,2,(women*) AND women's movement,1983
274,3,(women*) AND women's movement,1983
295,4,(women*) AND women's movement,1983
311,1,(women*) AND women's movement,1984
333,2,(women*) AND women's movement,1984
309,3,(women*) AND women's movement,1984
326,4,(women*) AND women's movement,1984
302,1,(women*) AND women's movement,1985
344,2,(women*) AND women's movement,1985
273,3,(women*) AND women's movement,1985
334,4,(women*) AND women's movement,1985
320,1,(women*) AND women's movement,1986
403,2,(women*) AND women's movement,1986
263,3,(women*) AND women's movement,1986
300,4,(women*) AND women's movement,1986
309,1,(women*) AND women's movement,1987
313,2,(women*) AND women's movement,1987
262,3,(women*) AND women's movement,1987
320,4,(women*) AND women's movement,1987
313,1,(women*) AND women's movement,1988
330,2,(women*) AND women's movement,1988
259,3,(women*) AND women's movement,1988
318,4,(women*) AND women's movement,1988
310,1,(women*) AND women's movement,1989
357,2,(women*) AND women's movement,1989
298,3,(women*) AND women's movement,1989
353,4,(women*) AND women's movement,1989
323,1,(women*) AND women's movement,1990
389,2,(women*) AND women's movement,1990
300,3,(women*) AND women's movement,1990
325,4,(women*) AND women's movement,1990
295,1,(women*) AND women's movement,1991
285,2,(women*) AND women's movement,1991
324,3,(women*) AND women's movement,1991
324,4,(women*) AND women's movement,1991
352,1,(women*) AND women's movement,1992
375,2,(women*) AND women's movement,1992
349,3,(women*) AND women's movement,1992
348,4,(women*) AND women's movement,1992
333,1,(women*) AND women's movement,1993
353,2,(women*) AND women's movement,1993
310,3,(women*) AND women's movement,1993
331,4,(women*) AND women's movement,1993
325,1,(women*) AND women's movement,1994
293,2,(women*) AND women's movement,1994
297,3,(women*) AND women's movement,1994
298,4,(women*) AND women's movement,1994
338,1,(women*) AND women's movement,1995
296,2,(women*) AND women's movement,1995
294,3,(women*) AND women's movement,1995
337,4,(women*) AND women's movement,1995
313,1,(women*) AND women's movement,1996
311,2,(women*) AND women's movement,1996
315,3,(women*) AND women's movement,1996
